SEQUENTIAL
1001;6601;[authentication username=1001 password=123456]
1002;6602;[authentication username=1002 password=123456]
1003;6603;[authentication username=1003 password=123456]
1004;6604;[authentication username=1004 password=123456]
1005;6605;[authentication username=1005 password=123456]
1006;6606;[authentication username=1006 password=123456]  
1007;6607;[authentication username=1007 password=123456]  
1008;6608;[authentication username=1008 password=123456]  
1009;6609;[authentication username=1009 password=123456]  
1010;6610;[authentication username=1010 password=123456]  
1011;6611;[authentication username=1011 password=123456]  
1012;6612;[authentication username=1012 password=123456]  
1013;6613;[authentication username=1013 password=123456]  
1014;6614;[authentication username=1014 password=123456]  
1015;6615;[authentication username=1015 password=123456]  
1016;6616;[authentication username=1016 password=123456]  
1017;6617;[authentication username=1017 password=123456]  
1018;6618;[authentication username=1018 password=123456]  
1019;6619;[authentication username=1019 password=123456]  
1020;6620;[authentication username=1020 password=123456]  
1021;6621;[authentication username=1021 password=123456]  
1022;6622;[authentication username=1022 password=123456]  
1023;6623;[authentication username=1023 password=123456]  
1024;6624;[authentication username=1024 password=123456]  
1025;6625;[authentication username=1025 password=123456]  
1026;6626;[authentication username=1026 password=123456]  
1027;6627;[authentication username=1027 password=123456]  
1028;6628;[authentication username=1028 password=123456]  
1029;6629;[authentication username=1029 password=123456]  
1030;6630;[authentication username=1030 password=123456]  
